RowNumber,Age,Gender,Country,Fault
0,35,Male,USA,Pedestrian
1,37,Male,China,Pedestrian
2,27,Male,USA,Pedestrian
3,31,Male,India,Pedestrian
4,24,Male,USA,Pedestrian
5,24,Male,USA,Pedestrian
6,26,Male,USA,Driver
7,24,Female,India,Driver
8,24,Female,China,Driver
9,31,Female,UK,Driver
10,29,Female,UK,Pedestrian
11,62,Male,Cuban,Pedestrian
12,36,Male,USA,Pedestrian
13,28,Male,Mexico,Pedestrian
14,23,Male,USA,Driver
15,32,Female,Denmark,Driver
16,26,Male,Belgium,Driver
17,26,Male,USA,Driver
18,60,Male,USA,Driver
19,28,Male,USA,Driver
20,25,Male,USA,Driver
21,42,Female,USA,Driver
22,31,Female,USA,Driver
23,24,Male,USA,Driver
24,44,Female,USA,Driver
25,31,Female,USA,Driver
26,33,Male,Egypt,Driver
27,34,Female,Poland,Driver
28,40,Female,USA,Driver
29,52,Female,USA,Driver
30,31,Female,USA,Driver
31,49,Female,USA,Driver
32,19,Male,Germany,Driver
33,51,Female,USA,Driver
34,24,Male,USA,Driver
35,31,Male,USA,Driver
36,22,Male,USA,Pedestrian
37,58,Female,USA,Pedestrian
38,22,Female,China,Driver
39,35,Female,USA,Driver
40,30,Female,USA,Driver
41,44,Male,India,Driver
42,26,Male,USA,Driver
43,24,Female,Canada,Driver
44,37,Female,USA,Driver
45,25,Male,USA,Driver
46,26,Male,USA,Driver
47,31,Male,USA,Driver
48,34,Male,USA,Pedestrian
49,41,Male,USA,Pedestrian
